TICKET_IDENTIFIER|SUPPORT_CATEGORY|AGENT_NAME|DATE_OF_CALL|CALL_STATUS|CALL_TYPE|TYPE_OF_CUSTOMER|DURATION|WORK_TIME|TICKET_STATUS|RESOLVED_IN_FIRST_CONTACT|RESOLUTION_CATEGORY|RATING
51|SUPPORT OUTAGES|YWILSON|10242022111002|DROPPED|CHAT|BUDGET-CONSCIOUS CUSTOMER|517|184|RESOLVED|1|SELF-HELP OPTION|WORST
913|TECHNICAL SUPPORT|WLOPEZ|03202023111002|COMPLETED|CALL|TECH-SAVVY USER|89|60|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|BEST
721|TECHNICAL SUPPORT|ATHOMAS|09262022111002|TRANSFERRED|CHAT|SENIOR CITIZEN|93|171|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|BAD
914|TECHNICAL SUPPORT|STHOMPSON|01012024111002|DROPPED|CHAT|BUSINESS OWNER|437|456|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|WORST
915|TECHNICAL SUPPORT|VHERNANDEZ|10232022111002|TRANSFERRED|CALL|SENIOR CITIZEN|14|435|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|NEUTRAL
789|TECHNICAL SUPPORT|ZANDERSON|05222023111002|COMPLETED|CALL|SENIOR CITIZEN|55|462|WORK IN PROGRESS|0|SELF-HELP OPTION|BAD
916|LOYALTY & RETENTIONS|ATHOMAS|06062023111002|COMPLETED|CHAT|LONG-TERM CUSTOMER|501|201|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|GOOD
917|MOBILE & WIRELESS SERVICES|VHERNANDEZ|01172024111002|DROPPED|CALL|FAMILY PLAN MANAGER|91|460|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
918|PROMOTIONS & DISCOUNTS|XGONZALEZ|01032024111002|TRANSFERRED|CALL|LONG-TERM CUSTOMER|527|582|WORK IN PROGRESS|1|SELF-HELP OPTION|WORST
919|SECURITY & PRIVACY|VHERNANDEZ|06132023111002|DROPPED|CHAT|SENIOR CITIZEN|244|496|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|WORST
920|SECURITY & PRIVACY|STHOMPSON|02042023111002|TRANSFERRED|CHAT|FREQUENT TRAVELER|554|360|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|NEUTRAL
921|ACCOUNT MANAGEMENT|ATHOMAS||DROPPED|CALL|FREQUENT TRAVELER|184|86|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|WORST
438|ACCOUNT MANAGEMENT|XGONZALEZ|09202022111002|DROPPED|CHAT|DEVICE ENTHUSIAST|220|567|RESOLVED|0|SELF-HELP OPTION|BEST
922|BUSINESS SERVICES|ATHOMAS|06092024111002|COMPLETED|CALL|FREQUENT TRAVELER|557|461|PENDING RESOLUTION|0|SELF-HELP OPTION|WORST
923|SUPPORT OUTAGES|ATHOMAS|02112023111002|COMPLETED|CHAT|FAMILY PLAN MANAGER|62|449|PENDING RESOLUTION|0|SELF-HELP OPTION|GOOD
924|NEW CUSTOMER ONBOARDING|ZANDERSON|02172024111002|TRANSFERRED|CHAT|LONG-TERM CUSTOMER|522|433|RESOLVED|0|SELF-HELP OPTION|BAD
925|SECURITY & PRIVACY|ZANDERSON|07222023111002|TRANSFERRED|CALL|TECH-SAVVY USER|576|512|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|GOOD
926|LOYALTY & RETENTIONS|STHOMPSON|08282023111002|DROPPED|CALL|DEVICE ENTHUSIAST|419|470|RESOLVED|0|SUPPORT TEAM INTERVENTION|NEUTRAL
135|SECURITY & PRIVACY|UMARTINEZ|04192023111002|DROPPED|CHAT|BUSINESS OWNER|561|35|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|BEST
927|LOYALTY & RETENTIONS|ATHOMAS|11122022111002|TRANSFERRED|CALL|BUDGET-CONSCIOUS CUSTOMER|84|599|PENDING RESOLUTION|1|SELF-HELP OPTION|NEUTRAL
928|LOYALTY & RETENTIONS|UMARTINEZ|12082023111002|TRANSFERRED|CHAT|FAMILY PLAN MANAGER|582|243|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
146|SUPPORT OUTAGES|STHOMPSON|01182024111002|DROPPED|CHAT|DEVICE ENTHUSIAST|542|453|PENDING RESOLUTION|1|SELF-HELP OPTION|BAD
929|ACCOUNT MANAGEMENT|XGONZALEZ|11022023111002|TRANSFERRED|CALL|HEAVY DATA USER|351|322|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|BEST
930|SECURITY & PRIVACY|TGARCIA|03092023111002|COMPLETED|CHAT|TECH-SAVVY USER|102|102|RESOLVED|1|SELF-HELP OPTION|WORST
931|BUSINESS SERVICES|ATHOMAS|06272022111002|TRANSFERRED|CALL|LONG-TERM CUSTOMER|90|171|PENDING RESOLUTION|0|SELF-HELP OPTION|BAD
932|LOYALTY & RETENTIONS|YWILSON|08102023111002|DROPPED|CALL|SENIOR CITIZEN|83|545|WORK IN PROGRESS|1|SELF-HELP OPTION|GOOD
565|HOME SERVICES|UMARTINEZ|12112023111002|TRANSFERRED|CHAT|BUDGET-CONSCIOUS CUSTOMER|228|446|WORK IN PROGRESS|1|SELF-HELP OPTION|BAD
933|PROMOTIONS & DISCOUNTS|UMARTINEZ|02152023111002|DROPPED|CHAT|HEAVY DATA USER|497|457|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|BEST
934|NEW CUSTOMER ONBOARDING|TGARCIA|02212022111002|TRANSFERRED|CHAT|FAMILY PLAN MANAGER|229|527|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|NEUTRAL
935|BUSINESS SERVICES|ZANDERSON|04182023111002|DROPPED|CHAT|FREQUENT TRAVELER|575|308|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|NEUTRAL
936|NEW CUSTOMER ONBOARDING|UMARTINEZ|04162022111002|TRANSFERRED|CALL|BUDGET-CONSCIOUS CUSTOMER|485|85|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|GOOD
576|SECURITY & PRIVACY|ZANDERSON|01152024111002|COMPLETED|CALL|NEW CUSTOMER|586|459|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|BAD
937|MOBILE & WIRELESS SERVICES|STHOMPSON|02042024111002|COMPLETED|CHAT|DEVICE ENTHUSIAST|12|182|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|NEUTRAL
938|HOME SERVICES|YWILSON|01242023111002|COMPLETED|CHAT|BUDGET-CONSCIOUS CUSTOMER|152|64|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|WORST
939|ACCOUNT MANAGEMENT|TGARCIA|05132023111002|TRANSFERRED|CHAT|NEW CUSTOMER|339|448|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|GOOD
88|SECURITY & PRIVACY|ZANDERSON|06072022111002|TRANSFERRED|CHAT|LONG-TERM CUSTOMER|237|456|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|WORST
940|BUSINESS SERVICES|YWILSON|03302022111002|COMPLETED|CHAT|HEAVY DATA USER|135|325|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|BEST
268|BUSINESS SERVICES|ZANDERSON|07312023111002|COMPLETED|CALL|LONG-TERM CUSTOMER|52|384|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|GOOD
941|HOME SERVICES|ZANDERSON|06162022111002|TRANSFERRED|CALL|FAMILY PLAN MANAGER|556|422|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|WORST
910|SECURITY & PRIVACY|TGARCIA|05122023111002|DROPPED|CALL|DEVICE ENTHUSIAST|509|159|WORK IN PROGRESS|1|SELF-HELP OPTION|WORST
942|ACCOUNT MANAGEMENT|XGONZALEZ|07072022111002|DROPPED|CALL|FAMILY PLAN MANAGER|211|540|RESOLVED|1|SUPPORT TEAM INTERVENTION|BAD
943|SECURITY & PRIVACY|WLOPEZ|01132022111002|COMPLETED|CALL|BUDGET-CONSCIOUS CUSTOMER|123|433|TRANSFERRED TO ANOTHER QUEUE||SELF-HELP OPTION|BEST
583|MOBILE & WIRELESS SERVICES|ZANDERSON|05022023111002|TRANSFERRED|CALL|HEAVY DATA USER|52|216|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|BEST
944|SECURITY & PRIVACY|WLOPEZ|05062023111002|DROPPED|CHAT|FAMILY PLAN MANAGER|474|283|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|NEUTRAL
619|PROMOTIONS & DISCOUNTS|WLOPEZ|04252023111002|COMPLETED|CHAT|BUDGET-CONSCIOUS CUSTOMER|190|593|PENDING RESOLUTION|1|SELF-HELP OPTION|BAD
945|MOBILE & WIRELESS SERVICES|EJONES|05072024111002|DROPPED|CHAT|NEW CUSTOMER|122|401|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|WORST
946|HOME SERVICES|XGONZALEZ|06162024111002|COMPLETED|CALL|LONG-TERM CUSTOMER|263|403|WORK IN PROGRESS|0|SELF-HELP OPTION|WORST
947|MOBILE & WIRELESS SERVICES|WLOPEZ|09252023111002|COMPLETED|CALL|HEAVY DATA USER|122|341|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|GOOD
948|MOBILE & WIRELESS SERVICES|STHOMPSON|08152022111002|TRANSFERRED|CHAT|NEW CUSTOMER|133|123|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|WORST
949|LOYALTY & RETENTIONS|YWILSON|01082024111002|DROPPED|CALL|BUDGET-CONSCIOUS CUSTOMER|337|237|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|GOOD
950|SECURITY & PRIVACY|WLOPEZ|09082024111002|DROPPED|CHAT|TECH-SAVVY USER|264|76|RESOLVED|0|SELF-HELP OPTION|NEUTRAL
951|ACCOUNT MANAGEMENT|XGONZALEZ|02162022111002|TRANSFERRED|CALL|LONG-TERM CUSTOMER|383|555|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|BAD
952|TECHNICAL SUPPORT|XGONZALEZ|04102024111002|COMPLETED|CALL|HEAVY DATA USER|76|498|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|NEUTRAL
953|ACCOUNT MANAGEMENT|TGARCIA|10092022111002|DROPPED|CHAT|NEW CUSTOMER|17|54|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|BEST
954|NEW CUSTOMER ONBOARDING|STHOMPSON|03252023111002|COMPLETED|CHAT|HEAVY DATA USER|88|187|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|GOOD
955|LOYALTY & RETENTIONS|STHOMPSON|12282022111002|COMPLETED|CHAT|LONG-TERM CUSTOMER|102|520|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BEST
956|PROMOTIONS & DISCOUNTS|EJONES|05042023111002|DROPPED|CHAT|HEAVY DATA USER|504|145|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|GOOD
133|BUSINESS SERVICES|EJONES|05252022111002|COMPLETED|CALL|DEVICE ENTHUSIAST|190|599|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
957|LOYALTY & RETENTIONS|VHERNANDEZ|01072024111002|DROPPED|CHAT|DEVICE ENTHUSIAST|566|64|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|BAD
596|MOBILE & WIRELESS SERVICES|UMARTINEZ|07222022111002|DROPPED|CALL|HEAVY DATA USER|199|55|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
958|PROMOTIONS & DISCOUNTS|UMARTINEZ|03212022111002|DROPPED|CALL|FAMILY PLAN MANAGER|590|438|WORK IN PROGRESS|1|SELF-HELP OPTION|NEUTRAL
218|NEW CUSTOMER ONBOARDING|YWILSON|03072022111002|DROPPED|CHAT|NEW CUSTOMER|441|140|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|WORST
959|SUPPORT OUTAGES|UMARTINEZ|01242024111002|TRANSFERRED||LONG-TERM CUSTOMER|414|175|RESOLVED|0|SELF-HELP OPTION|BAD
694|LOYALTY & RETENTIONS|ZANDERSON|03162023111002|COMPLETED|CALL|DEVICE ENTHUSIAST|73|485|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
960|SUPPORT OUTAGES|EJONES|01082024111002|TRANSFERRED|CALL|TECH-SAVVY USER|75|436|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|NEUTRAL
961|SUPPORT OUTAGES|XGONZALEZ|05102023111002|DROPPED|CALL|TECH-SAVVY USER||105|RESOLVED|0|SELF-HELP OPTION|BAD
962|NEW CUSTOMER ONBOARDING|UMARTINEZ|03262022111002|TRANSFERRED|CALL|FAMILY PLAN MANAGER|327|238|WORK IN PROGRESS|1|SELF-HELP OPTION|WORST
963|NEW CUSTOMER ONBOARDING|UMARTINEZ|05132022111002|COMPLETED|CALL|TECH-SAVVY USER|470|424|RESOLVED|1|SUPPORT TEAM INTERVENTION|GOOD
964|SUPPORT OUTAGES|EJONES|12222021111002|DROPPED|CHAT|SENIOR CITIZEN|470|392|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|BEST
965|MOBILE & WIRELESS SERVICES|YWILSON|11112023111002|COMPLETED|CHAT|SENIOR CITIZEN|216|482|PENDING RESOLUTION|1|SELF-HELP OPTION|NEUTRAL
966|MOBILE & WIRELESS SERVICES|EJONES|05052024111002|TRANSFERRED|CALL|DEVICE ENTHUSIAST|438|328|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|BEST
883|LOYALTY & RETENTIONS|STHOMPSON|02152024111002|TRANSFERRED|CALL|FREQUENT TRAVELER|55|290|WORK IN PROGRESS|1|SELF-HELP OPTION|WORST
967|ACCOUNT MANAGEMENT|UMARTINEZ|10252023111002|DROPPED|CALL|TECH-SAVVY USER|257|178|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BEST
968|BUSINESS SERVICES|VHERNANDEZ|10312022111002|DROPPED|CHAT|BUSINESS OWNER|579|560|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|NEUTRAL
969|PROMOTIONS & DISCOUNTS|TGARCIA|04212023111002|TRANSFERRED|CALL|FAMILY PLAN MANAGER|63|417|WORK IN PROGRESS|0|SELF-HELP OPTION|BEST
970|MOBILE & WIRELESS SERVICES|WLOPEZ|01082022111002|DROPPED|CHAT|BUDGET-CONSCIOUS CUSTOMER|586|443|RESOLVED|1|SELF-HELP OPTION|NEUTRAL
971|LOYALTY & RETENTIONS|ATHOMAS|03232022111002|DROPPED|CHAT|BUSINESS OWNER|535|324|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|GOOD
69|NEW CUSTOMER ONBOARDING|STHOMPSON|01032022111002|DROPPED|CALL|FAMILY PLAN MANAGER|391|176|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|GOOD
972|LOYALTY & RETENTIONS|TGARCIA|09162023111002|DROPPED|CHAT|NEW CUSTOMER|191|536|RESOLVED|0|SUPPORT TEAM INTERVENTION|WORST
457|LOYALTY & RETENTIONS|ATHOMAS|03082023111002|DROPPED|CHAT|LONG-TERM CUSTOMER|145|125|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|BEST
973|PROMOTIONS & DISCOUNTS|UMARTINEZ|08122023111002|TRANSFERRED|CALL|SENIOR CITIZEN|386|214|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|BAD
974|NEW CUSTOMER ONBOARDING|UMARTINEZ|09072023111002|COMPLETED|CALL|FAMILY PLAN MANAGER|491|32|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|NEUTRAL
975|SECURITY & PRIVACY|EJONES|08252024111002|COMPLETED|CHAT|TECH-SAVVY USER|82|126|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|GOOD
451|NEW CUSTOMER ONBOARDING|UMARTINEZ|08142022111002|COMPLETED|CHAT|TECH-SAVVY USER|585|264|RESOLVED|0|SELF-HELP OPTION|BEST
976|SECURITY & PRIVACY|EJONES|03242023111002|DROPPED|CALL|HEAVY DATA USER|65|268|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
977|SECURITY & PRIVACY|YWILSON|03202024111002|TRANSFERRED|CALL|BUSINESS OWNER|164|74|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|WORST
978|TECHNICAL SUPPORT|EJONES|06182024111002|DROPPED|CHAT|FAMILY PLAN MANAGER|163|529|WORK IN PROGRESS|1|SELF-HELP OPTION|BAD
979|LOYALTY & RETENTIONS|YWILSON|08082022111002|COMPLETED|CALL|TECH-SAVVY USER|304|121|WORK IN PROGRESS|0|SUPPORT TEAM INTERVENTION|BEST
980|ACCOUNT MANAGEMENT|EJONES|04262024111002|DROPPED|CALL|BUDGET-CONSCIOUS CUSTOMER|432|372|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
981|TECHNICAL SUPPORT|EJONES|03222024111002|COMPLETED|CALL|SENIOR CITIZEN|338|525|WORK IN PROGRESS|0|SELF-HELP OPTION|WORST
982|TECHNICAL SUPPORT|UMARTINEZ|08032024111002|TRANSFERRED|CHAT|FAMILY PLAN MANAGER|533|417|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|NEUTRAL
983|ACCOUNT MANAGEMENT|TGARCIA|12272023111002|TRANSFERRED|CHAT|FREQUENT TRAVELER|584|424|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|NEUTRAL
984|TECHNICAL SUPPORT|WLOPEZ|08282024111002|COMPLETED|CHAT|LONG-TERM CUSTOMER|496|441|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|GOOD
985|TECHNICAL SUPPORT|XGONZALEZ|09222022111002|COMPLETED||FAMILY PLAN MANAGER|447|106|TRANSFERRED TO ANOTHER QUEUE|0|SUPPORT TEAM INTERVENTION|WORST
986|ACCOUNT MANAGEMENT|STHOMPSON|05152024111002|DROPPED||LONG-TERM CUSTOMER|386|85|WORK IN PROGRESS|0|SELF-HELP OPTION|BAD
359|PROMOTIONS & DISCOUNTS|YWILSON|09102022111002|DROPPED|CALL|LONG-TERM CUSTOMER|31|62|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
987|LOYALTY & RETENTIONS|VHERNANDEZ|07312023111002|COMPLETED|CHAT|BUDGET-CONSCIOUS CUSTOMER|124|333|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|GOOD
988|NEW CUSTOMER ONBOARDING|UMARTINEZ|04252022111002|TRANSFERRED|CALL|HEAVY DATA USER|364|535|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|GOOD
989|HOME SERVICES|WLOPEZ|10312023111002|TRANSFERRED|CHAT|SENIOR CITIZEN|268|497|RESOLVED|1|SUPPORT TEAM INTERVENTION|NEUTRAL
990|SUPPORT OUTAGES|UMARTINEZ|01082022111002|COMPLETED|CHAT|HEAVY DATA USER|372|65|RESOLVED|1|SELF-HELP OPTION|BEST
202|BUSINESS SERVICES|VHERNANDEZ|08012022111002|TRANSFERRED|CHAT|FAMILY PLAN MANAGER|33|319|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|BAD
991|LOYALTY & RETENTIONS|STHOMPSON|07052022111002|DROPPED|CALL|DEVICE ENTHUSIAST|109|254|RESOLVED|0|SELF-HELP OPTION|BEST
992|NEW CUSTOMER ONBOARDING|WLOPEZ|07102023111002|DROPPED|CALL|FAMILY PLAN MANAGER|147|40|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|NEUTRAL
993|TECHNICAL SUPPORT|EJONES|01242022111002|DROPPED|CALL|SENIOR CITIZEN|371|372|PENDING RESOLUTION|0|SELF-HELP OPTION|BEST
994|MOBILE & WIRELESS SERVICES|UMARTINEZ|03072024111002|DROPPED|CALL|FAMILY PLAN MANAGER|67|159|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|WORST
995|ACCOUNT MANAGEMENT|VHERNANDEZ|11212022111002|DROPPED|CALL|LONG-TERM CUSTOMER|232|37|RESOLVED|0|SELF-HELP OPTION|BEST
996|ACCOUNT MANAGEMENT|STHOMPSON|11102023111002|COMPLETED|CALL|FREQUENT TRAVELER|262|76|RESOLVED|0|SUPPORT TEAM INTERVENTION|NEUTRAL
997|NEW CUSTOMER ONBOARDING|TGARCIA|11042022111002|DROPPED|CHAT|BUSINESS OWNER|460|73|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|BEST
998|ACCOUNT MANAGEMENT|YWILSON|09072022111002|TRANSFERRED|CALL|BUSINESS OWNER|312|22|RESOLVED|1|SUPPORT TEAM INTERVENTION|BAD
999|HOME SERVICES|ATHOMAS|08252024111002|COMPLETED|CALL|BUSINESS OWNER|116|390|PENDING CUSTOMER UPDATE|0|SELF-HELP OPTION|NEUTRAL
1000|MOBILE & WIRELESS SERVICES|YWILSON|08272022111002|DROPPED|CHAT|LONG-TERM CUSTOMER|519|349|PENDING RESOLUTION||SUPPORT TEAM INTERVENTION|BEST
1001|TECHNICAL SUPPORT|ZANDERSON|01292023111002|COMPLETED|CALL|BUDGET-CONSCIOUS CUSTOMER|373|29|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|NEUTRAL
1002|SUPPORT OUTAGES|UMARTINEZ|06182023111002|COMPLETED|CALL|NEW CUSTOMER|62|118|PENDING RESOLUTION|0|SELF-HELP OPTION|NEUTRAL
1003|HOME SERVICES|UMARTINEZ|10052022111002|DROPPED|CHAT|DEVICE ENTHUSIAST|285|106|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|NEUTRAL
1004|LOYALTY & RETENTIONS|STHOMPSON|07052023111002|DROPPED|CALL|LONG-TERM CUSTOMER|281|504|WORK IN PROGRESS|0|SELF-HELP OPTION|BEST
234|PROMOTIONS & DISCOUNTS|UMARTINEZ|08112023111002|TRANSFERRED|CHAT|FREQUENT TRAVELER|244|498|PENDING RESOLUTION|0|SELF-HELP OPTION|GOOD
1005|BUSINESS SERVICES|WLOPEZ|08222023111002|DROPPED|CALL|NEW CUSTOMER|95|461|PENDING RESOLUTION|0|SUPPORT TEAM INTERVENTION|BEST
515|LOYALTY & RETENTIONS|YWILSON|09142022111002|TRANSFERRED|CHAT|NEW CUSTOMER|559|575|PENDING RESOLUTION|0|SELF-HELP OPTION|NEUTRAL
1006|SECURITY & PRIVACY|WLOPEZ|06052022111002|TRANSFERRED|CHAT|TECH-SAVVY USER|140|323|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|BEST
1007|MOBILE & WIRELESS SERVICES|VHERNANDEZ|02012023111002|DROPPED|CHAT|LONG-TERM CUSTOMER|389|475|TRANSFERRED TO ANOTHER QUEUE|1|SUPPORT TEAM INTERVENTION|WORST
1008|LOYALTY & RETENTIONS|TGARCIA|03082023111002|TRANSFERRED|CHAT|BUDGET-CONSCIOUS CUSTOMER|300|319|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|NEUTRAL
1009|ACCOUNT MANAGEMENT|TGARCIA|11152022111002|DROPPED|CHAT|DEVICE ENTHUSIAST|429|280|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|BAD
1010|HOME SERVICES|VHERNANDEZ|05112022111002|COMPLETED|CALL|FREQUENT TRAVELER|117|353|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|GOOD
631|NEW CUSTOMER ONBOARDING|XGONZALEZ|06102022111002|TRANSFERRED|CALL|SENIOR CITIZEN|75|157|WORK IN PROGRESS|1|SUPPORT TEAM INTERVENTION|GOOD
1011|SECURITY & PRIVACY|UMARTINEZ||DROPPED|CALL|LONG-TERM CUSTOMER|587|302|WORK IN PROGRESS|1|SELF-HELP OPTION|WORST
1012|NEW CUSTOMER ONBOARDING|YWILSON|07152023111002|TRANSFERRED|CHAT|HEAVY DATA USER|56|44|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|BAD
505|MOBILE & WIRELESS SERVICES|ATHOMAS|06302022111002|COMPLETED|CHAT|HEAVY DATA USER|21|536|PENDING RESOLUTION|0|SELF-HELP OPTION|GOOD
1013|MOBILE & WIRELESS SERVICES|WLOPEZ|09072023111002|TRANSFERRED|CHAT|DEVICE ENTHUSIAST|429|482|RESOLVED|0|SELF-HELP OPTION|BAD
1014|SECURITY & PRIVACY|VHERNANDEZ|08022022111002|COMPLETED|CHAT|FAMILY PLAN MANAGER|91|55|RESOLVED|0|SUPPORT TEAM INTERVENTION|WORST
127|ACCOUNT MANAGEMENT|UMARTINEZ|12082022111002|TRANSFERRED|CHAT|BUDGET-CONSCIOUS CUSTOMER|174|246|PENDING CUSTOMER UPDATE|1|SUPPORT TEAM INTERVENTION|GOOD
1015|SUPPORT OUTAGES|TGARCIA|01182023111002|DROPPED|CALL|TECH-SAVVY USER|486|231|TRANSFERRED TO ANOTHER QUEUE|0|SELF-HELP OPTION|NEUTRAL
1016|BUSINESS SERVICES|ZANDERSON|02202023111002|DROPPED|CALL|FAMILY PLAN MANAGER|484|214|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|GOOD
1017|BUSINESS SERVICES|ZANDERSON|01062023111002|COMPLETED|CHAT|HEAVY DATA USER|424|81|PENDING CUSTOMER UPDATE|1|SELF-HELP OPTION|GOOD
391|ACCOUNT MANAGEMENT|TGARCIA|07052024111002|TRANSFERRED|CHAT|HEAVY DATA USER|576|103|RESOLVED|1|SELF-HELP OPTION|GOOD
1018|TECHNICAL SUPPORT|EJONES|05072023111002|COMPLETED|CHAT|FREQUENT TRAVELER|353|243|WORK IN PROGRESS|0|SELF-HELP OPTION|BAD
745|SUPPORT OUTAGES|YWILSON|08022023111002|TRANSFERRED|CALL|FAMILY PLAN MANAGER|378|60|PENDING CUSTOMER UPDATE|0|SUPPORT TEAM INTERVENTION|NEUTRAL
1019|ACCOUNT MANAGEMENT|TGARCIA|01102023111002|COMPLETED|CHAT|NEW CUSTOMER|322|292|RESOLVED|0|SUPPORT TEAM INTERVENTION|WORST
231|HOME SERVICES|WLOPEZ|09212023111002|TRANSFERRED|CALL|TECH-SAVVY USER|452|298|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|NEUTRAL
1020|PROMOTIONS & DISCOUNTS|YWILSON|03182023111002|COMPLETED|CALL|TECH-SAVVY USER|410|81|TRANSFERRED TO ANOTHER QUEUE|1|SELF-HELP OPTION|BAD
1021|NEW CUSTOMER ONBOARDING|UMARTINEZ|01082023111002|DROPPED|CHAT|NEW CUSTOMER|435|183|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|BAD
1022|ACCOUNT MANAGEMENT||09052022111002|DROPPED|CHAT|BUDGET-CONSCIOUS CUSTOMER|334|493|PENDING RESOLUTION|1|SUPPORT TEAM INTERVENTION|WORST
1023|LOYALTY & RETENTIONS||10252022111002|DROPPED|CALL|TECH-SAVVY USER|247|271|RESOLVED|1|SUPPORT TEAM INTERVENTION|BEST
